delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,22,ZONA DE ORO,CALLE EDUARDO VARGAS,CON VIOLENCIA
DAÑOS,CELAYA,2020,FEBRERO,24,ARBOLEDAS DE SAN RAFAEL,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,7,VIÑAS DE LA HERRADURA,CALLE PEPINO,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,7,CANTARRANAS,AVENIDA SALVADOR ORTEGA,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,IMPRESIONISTAS,CALLE MANUEL DOBLADO,CON VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,3,ZONA DE ORO,CALLE ALBINO GARCÍA,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,6,TIERRA BLANCA,PRIVADA JUAN TORRES TIRADO,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,6,VILLA DE LOS REYES,CALLE FRANCISCO I. MADERO,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,2,LOS PINOS,AVENIDA CASUARINAS,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,2,LA ESCONDIDA,AVENIDA PRESA ÁLVARO OBREGON,CON VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,3,LOS LAURELES,AVENIDA EL SAUZ,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,LOS LAURELES,AVENIDA EL SAUZ,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,22,ALAMEDA,CALLE AGUSTÍN ARROYO CHAGOYÁN CHICO,
DAÑOS,CELAYA,2020,FEBRERO,24,GUADALUPE,CALLE MANUEL ACUÑA,
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2020,FEBRERO,24,NUEVA SANTA MARIA,PENSAMIENTO,
OTROS DELITOS,CELAYA,2020,FEBRERO,19,EMILIANO ZAPATA,CALLE ALFONSO MIRANDA,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,19,LA SUIZA,CALLE MUTUALISMO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,20,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,20,JARDINES DEL SUR,CALLE PIRULES,CON VIOLENCIA
DAÑOS,CELAYA,2020,FEBRERO,20,VILLAS DEL BAJIO,CALLE MELOJO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,20,SAN LUIS REY,NO CATALOGADO,SIN VIOLENCIA
