delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ABUSO DE CONFIANZA,CELAYA,2021,ENERO,7,TECNOLOGICO,CALLE QUÍMICOS,,-100.8083609,20.5452821
DAÑOS,CELAYA,2021,ENERO,7,QUINTA ARBOLEDAS,PROLONGACIÓN FRANCISCO SARABIA,,-100.8244078,20.5103713
OTROS DELITOS,CELAYA,2021,ENERO,7,LAS CARRETAS,CALLE PASEO DEL CARROMATO,,-100.792311,20.5310536
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,11,SAN MARTIN,CALLE VILLA REAL,,-100.8061584,20.4989403
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,11,LAS FUENTES,CALLE MANUEL DOBLADO,,-100.828638,20.5232408
DAÑOS,CELAYA,2021,ENERO,11,NAT THA HI,PRIVADA REVOLUCIÓN AGRARIA,,-100.795972,20.5374009
ROBOS DIVERSOS,CELAYA,2021,ENERO,11,SAN JUANICO,CALLE TURMALINA,CON VIOLENCIA,-100.837966,20.540696
OTROS DELITOS,CELAYA,2021,ENERO,11,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBO A NEGOCIO,CELAYA,2021,ENERO,12,QUINTA BUGAMBILIAS,PENSAMIENTO,SIN VIOLENCIA,-100.8388442,20.5162974
LESIONES DOLOSAS,CELAYA,2021,ENERO,11,LINDAVISTA,CALLE ROSA,,-100.8253371,20.5464742
ROBO A NEGOCIO,CELAYA,2021,ENERO,11,CIUDADELA,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA,-100.8312983,20.5537848
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,7,IMPRESIONISTAS,PRIVADA ALBINO GARCÍA,CON VIOLENCIA,-100.82252,20.5250857
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,EL VERGEL,CALLE REVOLUCIÓN,SIN VIOLENCIA,-100.8062367,20.5181854
OTROS DELITOS,CELAYA,2021,ENERO,7,TENERIA DEL SANTUARIO,CARRETERA CELAYA-SAN MIGUEL DE ALLENDE,,-100.5875387,20.5463016
AMENAZAS,CELAYA,2021,ENERO,7,HACIENDA DEL BOSQUE,BOULEVARD FRIDA KAHLO,,-100.8561889,20.554254
FRAUDE,CELAYA,2021,ENERO,7,GIRASOLES,AVENIDA 12 DE OCTUBRE,,-100.8368086,20.5278187
OTROS DELITOS,CELAYA,2021,ENERO,3,MONTE BLANCO,EJIDO DE ZUAS,,-100.8266891,20.5045688
SECUESTRO,CELAYA,2021,ENERO,3,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBO A NEGOCIO,CELAYA,2021,ENERO,6,SAN ANGEL,AVENIDA 12 DE OCTUBRE,CON VIOLENCIA,-100.8368086,20.5278187
LESIONES DOLOSAS,CELAYA,2021,ENERO,6,TENERIA DEL SANTUARIO,CALLE VICENTE SUÁREZ,,-100.799911,20.6014888
DAÑOS,CELAYA,2021,ENERO,6,TENERIA DEL SANTUARIO,CALLE VICENTE SUÁREZ,,-100.799911,20.6014888
LESIONES DOLOSAS,CELAYA,2021,ENERO,1,EL CARMEN,NO CATALOGADO,,-100.8143912,20.523184
DAÑOS,CELAYA,2021,ENERO,1,TIERRA BLANCA,AVENIDA LÁZARO CÁRDENAS DEL RÍO,,-100.8138167,20.5074661
LESIONES DOLOSAS,CELAYA,2021,ENERO,4,EMILIANO ZAPATA,AVENIDA TIERRA Y LIBERTAD,,-100.7985253,20.541359
OTROS DELITOS,CELAYA,2021,ENERO,3,JARDINES DE CELAYA 2 DA SECC,CALLE PASEO DE CELAYA,,-100.7934617,20.5162298
DAÑOS,CELAYA,2021,ENERO,4,EMILIANO ZAPATA,AVENIDA TIERRA Y LIBERTAD,,-100.7985253,20.541359
DAÑOS,CELAYA,2021,ENERO,7,VALLE HERMOSO,AVENIDA TECNOLÓGICO,,-100.8208148,20.5424794
AMENAZAS,CELAYA,2021,ENERO,7,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,7,MADERAS RESIDENCIAL,NO CATALOGADO,SIN VIOLENCIA,-100.8662604,20.5440651
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,LIBERACION,CALLE MARÍA DOMINGA,CON VIOLENCIA,-100.7955675,20.5265385
OTROS DELITOS,CELAYA,2021,ENERO,8,VILLA LOS ARCOS,NO CATALOGADO,,-100.8226781,20.491849
ROBOS DIVERSOS,CELAYA,2021,ENERO,6,PEDRO MARIA ANAYA,CALLE CORONEL ELEUTERIO MÉNDEZ,SIN VIOLENCIA,-100.8787218,20.5267703
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,DE SANTIAGUITO,CALLE 5 DE MAYO,SIN VIOLENCIA,-100.8160523,20.524781
OTROS DELITOS,CELAYA,2021,ENERO,7,SANTA ANITA,AVENIDA LAS FUENTES,,-100.8297275,20.5270771
